Longevity data downloaded from FMP by Suheeta Roy on 3 Feb 2023,,,,,,,,,,,,
Aging BXD colony @ UTHSC on two diets- chow and high fat,,,,,,,,,,,,
Animals with age at death >200 days are considered for longevity analysis,,,,,,,,,,,,
,,,,,,,,,,,,
Index,EarTagNumberCurrent,EarTagNumberOriginal,StrainName,Sex,Diet,AgeAtDeath (days),CauseOfDeath,DateOfBirth,DateDietStart,DateOfDeath,AgeAtSettingUp (days),
168,2459,2459,BXD6,F,CD,508,Natural,11/5/15,1/14/16,3/27/17,70,
169,153,153,BXD102,F,CD,514,Euthanized,10/17/11,2/10/12,3/14/13,116,
170,3699,3699,BXD2,F,CD,515,Euthanized,3/16/21,10/14/21,8/13/22,212,
171,2280,2280,BXD9,F,CD,515,Natural,8/16/14,8/5/15,1/13/16,354,
172,2311,2311,BXD161,F,CD,515,Natural,7/9/15,9/9/15,12/5/16,62,
173,2050,2050,BXD48,F,CD,516,Natural,10/18/14,2/6/15,3/17/16,111,
174,2690,2690,BXD190,F,CD,520,Euthanized,9/17/17,11/20/17,2/19/19,64,
175,2429,2429,BXD19,F,CD,520,Natural,9/3/15,11/6/15,2/4/17,64,
176,2269,2269,BXD79,F,CD,521,Natural,3/28/15,8/5/15,8/30/16,130,
177,2795,2795,BXD31,F,CD,522,Euthanized,3/26/18,6/14/18,8/30/19,80,
178,2509,2509,BXD16,F,CD,522,Natural,10/30/15,1/14/16,4/4/17,76,
179,2393,2393,BXD44,F,CD,524,Natural,6/22/15,11/3/15,11/27/16,134,
180,2761,2761,BXD194,F,CD,524,Natural,12/25/17,2/23/18,6/2/19,60,
181,2826,2826,BXD14,F,CD,524,Natural,4/11/18,7/12/18,9/17/19,92,
182,77,77,BXD100,F,CD,526,Natural,2/17/11,2/10/12,7/27/12,358,
183,1874,1874,BXD79,F,CD,526,Natural,7/15/14,10/22/14,12/23/15,99,
184,2039,2039,BXD40,F,CD,526,Natural,10/4/14,2/6/15,3/13/16,125,
185,3695,3695,BXD2,F,CD,527,Euthanized,3/16/21,10/14/21,8/25/22,212,
186,2567,2567,BXD18,F,CD,528,Natural,1/24/16,2/19/16,7/5/17,26,
187,2479,2479,BXD62,F,CD,529,Natural,11/4/15,1/14/16,4/16/17,71,
188,796,796,BXD101,F,CD,532,Euthanized,3/27/12,7/20/12,9/10/13,115,
189,903,903,BXD98,F,CD,532,Natural,3/21/12,7/20/12,9/4/13,121,
190,2651,2651,DBA/2J,F,CD,532,Natural,5/2/16,12/13/16,10/16/17,225,
191,3207,3207,BXD170,F,CD,535,Natural,5/10/20,9/23/20,10/27/21,136,
192,4542,4542,BXD60,F,CD,535,Natural,7/30/21,11/10/21,1/16/23,103,
193,1462,1462,BXD44,F,CD,536,Natural,1/10/14,4/11/14,6/30/15,91,
194,2103,2103,BXD65b,F,CD,536,Natural,9/8/14,2/6/15,2/26/16,151,
195,3146,3146,BXD68,F,CD,537,Euthanized,5/12/19,8/7/20,10/30/20,453,
196,2258,2258,BXD161,F,CD,540,Natural,6/24/15,8/5/15,12/15/16,42,
197,2861,2861,BXD181,F,CD,540,Natural,4/5/18,8/13/18,9/27/19,130,
198,2849,2849,BXD15,F,CD,542,Euthanized,5/17/18,7/23/18,11/10/19,67,
199,3045,3045,BXD155,F,CD,542,Euthanized,12/23/18,3/4/20,6/17/20,437,
200,32,32,BXD77,F,CD,542,Natural,3/29/11,2/13/12,9/21/12,321,
201,1015,1015,BXD9,F,CD,543,Natural,4/15/13,8/8/13,10/10/14,115,
202,935,338,BXD100,F,CD,544,Natural,11/13/11,2/10/12,5/10/13,89,
203,1345,1345,BXD67,F,CD,544,Natural,10/23/12,11/15/13,4/20/14,388,
204,2443,2443,BXD8,F,CD,546,Euthanized,9/9/15,11/6/15,3/8/17,58,
205,155,155,BXD102,F,CD,546,Natural,9/12/11,2/10/12,3/11/13,151,
206,2584,2584,BXD172,F,CD,546,Natural,5/21/16,7/1/16,11/18/17,41,
207,2643,2643,DBA/2J,F,CD,547,Euthanized,1/12/16,12/13/16,7/12/17,336,
208,102,102,BXD13,F,CD,548,Natural,11/12/10,2/13/12,5/13/12,458,
209,864,864,BXD95,F,CD,550,Natural,1/16/12,7/20/12,7/19/13,186,
210,2045,2045,BXD44,F,CD,550,Natural,9/29/14,2/6/15,4/1/16,130,
211,62,62,BXD61,F,CD,551,Natural,2/6/11,2/13/12,8/10/12,372,
212,868,868,BXD95,F,CD,551,Natural,12/21/11,7/20/12,6/24/13,212,
213,225,225,BXD100,F,CD,552,Natural,10/1/11,2/10/12,4/5/13,132,
214,269,269,BXD27,F,CD,552,Natural,8/9/11,2/13/12,2/11/13,188,
215,1507,1507,BXD73,F,CD,553,Natural,1/21/14,4/11/14,7/28/15,80,
216,2484,2484,BXD24,F,CD,553,Natural,11/13/15,1/14/16,5/19/17,62,
217,2808,2808,BXD214,F,CD,553,Natural,3/28/18,7/6/18,10/2/19,100,
218,1540,1540,BXD24,F,CD,554,Natural,2/6/14,4/11/14,8/14/15,64,
219,2466,2466,BXD84,F,CD,554,Natural,12/9/15,1/14/16,6/15/17,36,
220,2370,2370,BXD171,F,CD,556,Natural,8/4/15,11/3/15,2/10/17,91,
221,3051,3051,BXD44,F,CD,556,Natural,11/30/18,3/4/20,6/8/20,460,
222,2426,2426,BXD16,F,CD,557,Natural,9/15/15,11/6/15,3/25/17,52,
223,2448,2448,BXD8,F,CD,557,Natural,9/20/15,11/6/15,3/30/17,47,
224,2647,2647,DBA/2J,F,CD,557,Natural,5/2/16,12/13/16,11/10/17,225,
225,2952,2952,BXD14,F,CD,559,Euthanized,12/27/17,6/5/19,7/9/19,525,
226,2770,2770,BXD214,F,CD,560,Euthanized,1/9/18,3/9/18,7/23/19,59,
227,2123,2123,BXD24,F,CD,560,Natural,8/29/14,2/6/15,3/11/16,161,
